Tiempo_s,Distancia_cm,Angulo_deg
0.1291898,12.81,-53.2
0.2591758,12.49,-52.45
0.2597399,12.94,-52.76
0.2600959,13.75,-50.34
0.260572,12.69,-51.83
0.2611458,13.34,-51.44
0.2617196,12.95,-51.79
0.2625503,12.89,-50.91
0.2632363,12.78,-51.35
0.2638243,13.62,-50.78
0.2644255,14.45,-50.56
0.2649571,13.64,-50.56
0.2654512,12.69,-50.38
0.265915,14.75,-50.78
0.2663043,14.34,-50.03
0.2666706,13.97,-50.38
0.267013,14.79,-49.72
0.2673754,14.24,-50.38
0.2677099,13.36,-49.9
0.2680369,15.39,-50.34
0.2684218,13.94,-50.34
0.26881,13.57,-51.44
0.2699008,14.24,-50.03
0.2716757,14.92,-49.86
0.2724215,14.92,-49.33
0.2729317,9.9,-48.76
0.2733986,14.4,-50.38
0.2738344,9.01,-49.68
0.274269,9.91,-51.13
0.2746679,15.15,-50.74
0.2750635,14.24,-51.31
0.2754897,15.57,-50.56
0.2758983,14.09,-51.13
0.2763064,15,-51.83
0.2767317,14.63,-51.57
0.2771523,15.15,-51.75
0.2775922,15.71,-51.48
0.2780004,14.96,-51.83
0.2784069,14.72,-51.13
0.2788209,15.29,-52.32
0.279219,15.61,-51.83
0.279624,15.35,-51.97
0.2799829,15.43,-52.45
0.2803398,14.79,-52.45
0.2806962,15.55,-52.19
0.2810373,15.35,-52.8
0.2813919,15.61,-52.1
0.2817303,17.12,-51.92
0.2820946,18.14,-53.15
0.2824781,16.66,-52.27
0.282861,15.61,-52.63
0.2832621,15.55,-52.45
0.2836465,16.3,-52.71
0.28414,9.93,-50.95
0.2845541,15.31,-52.89
0.2849561,15.82,-52.67
0.2853633,13.79,-52.93
0.2904255,16.16,-52.93
0.2908214,16.07,-52.32
0.306423,15.57,-53.24
0.306883,17.87,-53.15
0.3072187,15.99,-53.28
0.3229766,15.92,-52.14
0.3243026,17.73,-51.7
0.3247619,16.78,-52.71
0.3264419,15.35,-53.02
0.3391663,16.01,-52.49
0.342098,18.65,-53.06
0.3435489,18.34,-52.58
0.3456923,16.14,-52.45
0.3526115,16.3,-52.89
0.368334,17.05,-52.89
0.376619,18.77,-52.36
0.3805236,18.98,-52.41
0.383694,18.2,-53.11
0.3847388,17.95,-52.54
0.3853545,19.48,-53.06
0.3862536,18.45,-53.15
0.3901224,17,-53.37
0.4085058,18.45,-51.22
0.4489935,16.3,-52.63
0.449444,10.92,-51.57
0.4498772,10.95,-51.13
0.4501865,19.17,-53.15
0.4504881,18.14,-53.64
0.4507672,20.42,-53.15
0.451043,19.35,-53.42
0.4513223,16.69,-53.2
0.4549641,20.78,-53.68
0.4553498,17.6,-53.55
0.4556765,17.95,-53.37
0.4559798,20.46,-54.6
0.4742678,18.74,-53.9
0.4746628,18.8,-53.77
0.4749362,18.28,-54.16
0.4901213,21.53,-53.64
0.5077317,19.32,-54.12
0.5081434,20.35,-54.69
0.5085392,19.17,-54.56
0.5089499,18.92,-55.92
0.5092672,19.23,-55
0.5095675,18.39,-55.13
0.5111272,19.26,-55.97
0.5264845,18.2,-57.28
0.5269495,19.32,-56.49
0.5272874,16.73,-56.85
0.5330999,20.74,-59.75
0.5472607,18.92,-56.67
0.5477176,16.78,-57.99
0.5479908,17.29,-58.12
0.5622904,10.55,-58.16
0.5785756,16.36,-58.03
0.5789282,17.42,-59.17
0.5792677,17.37,-59.22
0.5795503,19.32,-58.91
0.5816003,17.42,-59
0.5818896,18.57,-59
0.588915,20.49,-59.22
0.5954633,17.05,-59.35
0.5958638,19.29,-59.04
0.600589,20.53,-58.82
0.6156586,18.74,-58.56
0.616069,16.23,-58.87
0.6163462,17.19,-58.69
0.6307144,18.22,-59.48
0.6472176,17.09,-58.78
0.647823,17.05,-58.34
0.6482232,17.58,-58.82
0.648578,17.05,-57.94
0.6488847,16.88,-59.17
0.6622088,19.39,-58.65
0.6627301,17.02,-57.99
0.6630355,16.27,-58.6
0.6651052,15.61,-57.81
0.6717437,17.6,-57.9
0.6793523,17.6,-56.58
0.6987638,10.08,-56.23
0.717549,15.15,-58.3
0.7181241,10.52,-57.5
0.7185599,16.14,-57.37
0.7189345,15.07,-57.06
0.7192391,15.23,-57.37
0.7195438,15.71,-56.58
0.7204786,16.3,-56.71
0.720779,15.86,-57.37
0.7390964,14.92,-56.89
0.7395248,14.98,-56.05
0.7398137,15.33,-56.8
0.7401384,15.23,-55.97
0.7533816,16.14,-56.41
0.7541076,15.8,-55.83
0.7554028,16.62,-55.57
0.7624477,16.32,-55.92
0.7805298,15.47,-55.35
0.7970783,16.97,-56.19
0.7976379,16.3,-55.83
0.7979536,14.61,-55.97
0.7983566,14.11,-54.65
0.798635,15.61,-55.88
0.7989062,16.3,-55.57
0.8012699,15.67,-54.56
0.8110088,15.92,-55.13
0.8114835,15.55,-55.09
0.81814,16.16,-55.26
0.8251761,9.54,-53.68
0.8258718,15.07,-54.47
0.8327236,13.81,-55.04
0.8550537,15,-55.13
0.8691002,15.61,-55.13
0.8696854,16.3,-54.6
0.8699791,13.53,-55.09
0.8702598,15.02,-54.82
0.8706273,15.49,-55.26
0.8709171,13.71,-55
0.8733743,15.17,-54.25
0.8803937,15.25,-55.13
0.8807749,15.63,-55
0.8872409,14.68,-54.87
0.8943535,13.87,-54.25
0.8989347,15.23,-54.65
0.914293,13.25,-54.95
0.9147552,13.86,-55.61
0.9150339,13.4,-55.31
0.9303056,13.89,-54.3
0.9459394,13.5,-55.31
0.9465601,15.23,-54.6
0.9468632,14.5,-54.47
0.9472224,13.56,-54.69
0.947495,13.73,-55.39
0.9477668,14.02,-55.22
0.9496069,14.5,-53.64
0.9654444,13.91,-55.09
0.9658839,8.74,-52.45
0.9661793,8.99,-54.6
0.9776692,13.91,-54.69
0.9780489,14.14,-54.91
1.0007077,13.53,-54.56
1.014064,13.5,-53.33
1.0144851,13.62,-54.08
1.0147853,13.43,-53.72
1.0150693,12.87,-53.15
1.0154116,13.71,-52.93
1.0192982,12.45,-52.41
1.019641,13.02,-52.41
1.0206992,14.52,-51.97
1.0261734,14.79,-51.44
1.0331824,13.91,-51.97
1.0360847,14.4,-51.44
1.0522474,12.71,-51
1.0527911,13.36,-51.09
1.0531682,12.5,-50.78
1.0699474,13.46,-50.34
1.0843321,15.59,-50.12
1.0846971,14.14,-50.34
1.085019,13.46,-50.74
1.0853922,13.65,-50.03
1.0856727,14.4,-50.82
1.0885909,15.13,-50.56
1.0899868,14.34,-48.98
1.105605,12.85,-50.95
1.1060411,15.17,-50.3
1.1063314,9.1,-50.65
1.1214788,12.22,-51.13
1.121841,15.86,-50.74
1.1221097,13.86,-50.95
1.1390775,15.8,-50.21
1.1526581,14.19,-50.38
1.1531298,14.09,-51.13
1.1535184,13.87,-51.7
1.1538118,13.75,-51.7
1.1580146,15.17,-51.53
1.1583233,14.98,-51.75
1.164961,16.14,-51.22
1.1653744,15.02,-51.66
1.171847,15.07,-52.27
1.1860648,14.04,-52.01
1.1864531,14.43,-51.66
1.1867281,15.92,-51.79
1.2091466,15.23,-51.53
1.2254492,15.61,-52.23
1.2259415,15.71,-52.14
1.2262326,15.92,-52.32
1.2265748,17.6,-52.01
1.2268497,16.5,-52.01
1.2271465,15.51,-52.41
1.2274169,16.07,-52.49
1.2298258,17.05,-50.34
1.2454398,9.74,-50.3
1.2459695,17.27,-52.23
1.2462554,14.9,-52.41
1.2606311,15.75,-52.54
1.2610222,14.98,-53.15
1.2612897,15.27,-52.36
1.278486,14.56,-52.41
1.2912192,17.19,-52.32
1.2917138,17.05,-52.27
1.2920977,17.17,-52.36
1.2923808,15.37,-52.85
1.2968587,17.17,-52.67
1.2971584,17.05,-52.98
1.3039195,17.45,-52.49
1.3105421,18.28,-53.2
1.3112018,15.61,-51.75
1.3178761,18.39,-52.89
1.3246915,17.89,-52.23
1.3250114,17.63,-53.11
1.3410513,16.36,-52.32
1.3548991,16.66,-53.24
1.3552498,18.95,-52.93
1.3555839,18.22,-51.75
1.3558779,18.86,-52.49
1.3595154,19.55,-53.02
1.3598619,18.22,-52.93
1.3754214,17.05,-52.67
1.3758522,18.11,-52.93
1.3761338,11.1,-51.61
1.3801317,10.73,-50.78
1.3872116,19.97,-52.54
1.4102486,20.11,-52.67
1.4231637,16.64,-53.24
1.4235795,17.07,-52.93
1.4239317,21.26,-52.36
1.4242217,18.92,-53.77
1.424566,17.81,-53.2
1.4248338,19.81,-52.76
1.4289808,18.28,-53.72
1.4305473,18.22,-52.54
1.4357839,17.84,-53.28
1.4427417,20.07,-53.46
1.4599448,18.8,-52.49
1.4603378,17.89,-53.15
1.4606104,17.89,-53.2
1.4608784,20.53,-51.92
1.479413,18.17,-53.33
1.4942075,22.82,-53.72
1.4945608,19.32,-53.86
1.4948345,18.8,-53.81
1.4951655,22.14,-54.56
1.4954316,20.28,-54.25
1.4981851,19.42,-54.82
1.4995043,18.74,-55
1.513819,19.07,-54.34
1.5142978,17.47,-55.97
1.5264612,20.28,-56.01
1.5269298,10.64,-56.19
1.5272052,16.25,-56.58
