Tiempo_s;Distancia_cm;Angulo_deg;Vref_V;Angulo
23.155.887;13,08;-57,94;3,3;32,06
30.377.944;12,4;-59,22;3,3;30,78
30.701.477;12,45;-58,69;3,3;31,31
30.959.867;12,37;-59,39;3,3;30,61
31.255.961;12,03;-58,3;3,3;31,7
31.343.752;12,06;-58,08;3,3;31,92
3.136.951;12,19;-58,21;3,3;31,79
31.383.247;11,97;-58,69;3,3;31,31
31.391.364;12,45;-59,48;3,3;30,52
31.399;12,32;-57,68;3,3;32,32
31.407.335;12,27;-57,11;3,3;32,89
31.416.534;11,1;-57,5;3,3;32,5
31.424.635;11,7;-58,52;3,3;31,48
31.431.991;12,13;-57,59;3,3;32,41
31.439.606;11,31;-57,59;3,3;32,41
31.446.965;11,29;-57,68;3,3;32,32
31.454.453;12,03;-58,08;3,3;31,92
31.462.177;10,92;-57,94;3,3;32,06
31.469.565;11,38;-57,99;3,3;32,01
31.476.732;2,96;-32,76;3,3;57,24
31.484.214;11;-56,23;3,3;33,77
31.491.716;11,06;-55,97;3,3;34,03
31.502.993;10,85;-57,24;3,3;32,76
31.529.867;10,55;-57,15;3,3;32,85
31.538.592;10,67;-57,59;3,3;32,41
31.545.984;10,67;-57,11;3,3;32,89
31.553.195;11,15;-56,71;3,3;33,29
31.560.492;10,37;-57,11;3,3;32,89
31.567.665;10,98;-55,48;3,3;34,52
31.574.788;11,04;-56,41;3,3;33,59
31.582.073;10,05;-55,83;3,3;34,17
31.590.144;10,44;-56,63;3,3;33,37
31.597.548;10,18;-57,46;3,3;32,54
31.604.791;10,12;-56,54;3,3;33,46
31.614.242;10,42;-56,41;3,3;33,59
31.629.766;10,15;-55,97;3,3;34,03
31.637.194;9,95;-55,13;3,3;34,87
31.644.662;9,64;-56,36;3,3;33,64
31.651.837;9,4;-56,1;3,3;33,9
31.658.941;9,84;-55,66;3,3;34,34
31.666.384;9,31;-56,45;3,3;33,55
31.673.794;9,42;-56,45;3,3;33,55
3.168.141;9,6;-55,48;3,3;34,52
31.688.944;9,28;-55,57;3,3;34,43
31.696.455;9,6;-31,79;3,3;58,21
31.704.575;2,96;-31,57;3,3;58,43
3.171.338;9,2;-56,93;3,3;33,07
31.721.524;2,96;-54,56;3,3;35,44
31.729.446;8,97;-54,74;3,3;35,26
31.736.855;9,33;-56,76;3,3;33,24
31.744.288;9,7;-55,83;3,3;34,17
31.751.581;9,39;-56,67;3,3;33,33
