k,s,obj_x_mm,obj_y_mm,obj_z_mm,ci_J1_deg,ci_J2_deg,ci_J3_deg,postura,soluciones,soluciones_validas,med_J1_deg,med_J2_deg,med_J3_deg,real_x_mm,real_y_mm,real_z_mm,error_mm,desvio_recta_mm,tau_J2_Nm,tau_J3_Nm,tau_J2_kgfcm,tau_J3_kgfcm,pct_nominal_J2,pct_nominal_J3
1,0.0000,300.00,-150.00,250.00,-26.565,54.417,-102.194,hombro_frente/codo_arriba,4,1,-26.604,54.447,-102.248,299.76,-150.14,249.96,0.276,0.240,0.9747,0.4409,9.939,4.496,487.3,220.4
2,0.0909,300.00,-122.73,250.00,-22.249,57.442,-106.526,hombro_frente/codo_arriba,4,1,-22.241,57.439,-106.533,299.99,-122.67,249.96,0.068,0.039,0.9239,0.4298,9.421,4.382,461.9,214.9
3,0.1818,300.00,-95.45,250.00,-17.650,59.931,-110.036,hombro_frente/codo_arriba,4,1,-17.640,59.926,-110.039,300.00,-95.40,249.97,0.063,0.028,0.8809,0.4209,8.983,4.292,440.5,210.4
4,0.2727,300.00,-68.18,250.00,-12.804,61.848,-112.705,hombro_frente/codo_arriba,4,1,-12.794,61.851,-112.715,299.98,-68.12,249.98,0.067,0.028,0.8473,0.4143,8.641,4.224,423.7,207.1
5,0.3636,300.00,-40.91,250.00,-7.765,63.156,-114.505,hombro_frente/codo_arriba,4,1,-7.754,63.153,-114.510,299.98,-40.85,249.97,0.068,0.031,0.8244,0.4099,8.407,4.179,412.2,204.9
6,0.4545,300.00,-13.64,250.00,-2.603,63.819,-115.412,hombro_frente/codo_arriba,4,1,-2.591,63.823,-115.418,299.98,-13.58,249.99,0.062,0.018,0.8127,0.4077,8.287,4.158,406.4,203.9
7,0.5455,300.00,13.64,250.00,2.603,63.819,-115.412,hombro_frente/codo_arriba,4,1,2.614,63.813,-115.405,300.01,13.70,250.00,0.063,0.015,0.8129,0.4078,8.289,4.158,406.4,203.9
8,0.6364,300.00,40.91,250.00,7.765,63.156,-114.505,hombro_frente/codo_arriba,4,1,7.776,63.150,-114.503,299.99,40.97,249.98,0.064,0.024,0.8245,0.4099,8.408,4.180,412.3,204.9
9,0.7273,300.00,68.18,250.00,12.804,61.848,-112.705,hombro_frente/codo_arriba,4,1,12.815,61.848,-112.716,299.94,68.23,249.96,0.082,0.067,0.8473,0.4142,8.641,4.224,423.7,207.1
10,0.8182,300.00,95.45,250.00,17.650,59.931,-110.036,hombro_frente/codo_arriba,4,1,17.661,59.921,-110.034,299.98,95.51,249.97,0.067,0.041,0.8810,0.4209,8.984,4.292,440.5,210.4
11,0.9091,300.00,122.73,250.00,22.249,57.442,-106.526,hombro_frente/codo_arriba,4,1,22.259,57.438,-106.537,299.93,122.76,249.95,0.089,0.084,0.9238,0.4297,9.420,4.382,461.9,214.9
12,1.0000,300.00,150.00,250.00,26.565,54.417,-102.194,hombro_frente/codo_arriba,4,1,26.574,54.407,-102.191,299.97,150.04,249.96,0.065,0.047,0.9753,0.4410,9.946,4.497,487.7,220.5
